#solver	iter	latency-throughput
		4. : 1.
		5. : 1.
semimcfraeke	68	
		3. : 0.608037591561
		4. : 1.
		5. : 1.
semimcfraeke	69	
		3. : 0.59551027989
		4. : 1.
		5. : 1.
semimcfraeke	70	
		3. : 0.604329088848
		4. : 1.
		5. : 1.
semimcfraeke	71	
		3. : 0.6059683224
		4. : 1.
		5. : 1.
semimcfraeke	72	
		3. : 0.613439354269
		4. : 1.
		5. : 1.
semimcfraeke	73	
		3. : 0.619415524893
		4. : 1.
		5. : 1.
semimcfraeke	74	
		3. : 0.618485868965
		4. : 1.
		5. : 1.
semimcfraeke	75	
		3. : 0.613524818201
		4. : 1.
		5. : 1.
semimcfraeke	76	
		3. : 0.617655100635
		4. : 1.
		5. : 1.
semimcfraeke	77	
		3. : 0.617170153225
		4. : 1.
		5. : 1.
semimcfraeke	78	
		3. : 0.61927717155
		4. : 1.
		5. : 1.
semimcfraeke	79	
		3. : 0.606453092094
		4. : 1.
		5. : 1.
semimcfraeke	80	
		3. : 0.607108218617
		4. : 1.
		5. : 1.
semimcfraeke	81	
		3. : 0.602578504922
		4. : 1.
		5. : 1.
semimcfraeke	82	
		3. : 0.599396682895
		4. : 1.
		5. : 1.
semimcfraeke	83	
		3. : 0.604248513408
		4. : 1.
		5. : 1.
semimcfraeke	84	
		3. : 0.5974824514
		4. : 1.
		5. : 1.
semimcfraeke	85	
		3. : 0.604286582168
		4. : 1.
		5. : 1.
semimcfraeke	86	
		3. : 0.611025474609
		4. : 1.
		5. : 1.
semimcfraeke	87	
		3. : 0.620227253852
		4. : 1.
		5. : 1.
semimcfraeke	88	
		3. : 0.61625797399
		4. : 1.
		5. : 1.
semimcfraeke	89	
		3. : 0.620272254068
		4. : 1.
		5. : 1.
semimcfraeke	90	
		3. : 0.620117801602
		4. : 1.
		5. : 1.
semimcfraeke	91	
		3. : 0.621192737358
		4. : 1.
		5. : 1.
semimcfraeke	92	
		3. : 0.621180504499
		4. : 1.
		5. : 1.
semimcfraeke	93	
		3. : 0.61679417541
		4. : 1.
		5. : 1.
semimcfraeke	94	
		3. : 0.616686658996
		4. : 1.
		5. : 1.
semimcfraeke	95	
		3. : 0.615721435112
		4. : 1.
		5. : 1.
semimcfraeke	96	
		3. : 0.623440581165
		4. : 1.
		5. : 1.
semimcfraeke	97	
		3. : 0.61780036001
		4. : 1.
		5. : 1.
semimcfraeke	98	
		3. : 0.603946318181
		4. : 1.
		5. : 1.
semimcfraeke	99	
		3. : 0.612048686645
		4. : 1.
		5. : 1.
semimcfraeke	100	
		3. : 0.617937459127
		4. : 1.
		5. : 1.
semimcfraeke	101	
		3. : 0.612359545625
		4. : 1.
		5. : 1.
semimcfraeke	102	
		3. : 0.589544721052
		4. : 1.
		5. : 1.
semimcfraeke	103	
		3. : 0.603126535018
		4. : 1.
		5. : 1.
semimcfraeke	104	
		3. : 0.607019586242
		4. : 1.
		5. : 1.
semimcfraeke	105	
		3. : 0.610891522709
		4. : 1.
		5. : 1.
semimcfraeke	106	
		3. : 0.606738363476
		4. : 1.
		5. : 1.
semimcfraeke	107	
		3. : 0.60455452202
		4. : 1.
		5. : 1.
semimcfraeke	108	
		3. : 0.602366756057
		4. : 1.
		5. : 1.
semimcfraeke	109	
		3. : 0.605944394016
		4. : 1.
		5. : 1.
semimcfraeke	110	
		3. : 0.592816589073
		4. : 1.
		5. : 1.
semimcfraeke	111	
		3. : 0.594143392639
		4. : 1.
		5. : 1.
semimcfraeke	112	
		3. : 0.590754529711
		4. : 1.
		5. : 1.
semimcfraeke	113	
		3. : 0.607438429393
		4. : 1.
		5. : 1.
semimcfraeke	114	
		3. : 0.60758922014
		4. : 1.
		5. : 1.
semimcfraeke	115	
		3. : 0.609605066794
		4. : 1.
		5. : 1.
semimcfraeke	116	
		3. : 0.60925525196
		4. : 1.
		5. : 1.
semimcfraeke	117	
		3. : 0.614134967664
		4. : 1.
		5. : 1.
semimcfraeke	118	
		3. : 0.613234870901
		4. : 1.
		5. : 1.
semimcfraeke	119	
		3. : 0.60478134154
		4. : 1.
		5. : 1.
semimcfraeke	120	
		3. : 0.614088270158
		4. : 1.
		5. : 1.
semimcfraeke	121	
		3. : 0.608821695053
		4. : 1.
		5. : 1.
semimcfraeke	122	
		3. : 0.608821695012
		4. : 1.
		5. : 1.
semimcfraeke	123	
		3. : 0.611457544731
		4. : 1.
		5. : 1.
semimcfraeke	124	
		3. : 0.605908875
		4. : 1.
		5. : 1.
semimcfraeke	125	
		3. : 0.60210599349
		4. : 1.
		5. : 1.
semimcfraeke	126	
		3. : 0.603477357743
		4. : 1.
		5. : 1.
semimcfraeke	127	
		3. : 0.606883373869
		4. : 1.
		5. : 1.
semimcfraeke	128	
		3. : 0.607653495435
		4. : 1.
		5. : 1.
semimcfraeke	129	
		3. : 0.599659944771
		4. : 1.
		5. : 1.
semimcfraeke	130	
		3. : 0.611675824574
		4. : 1.
		5. : 1.
semimcfraeke	131	
		3. : 0.615252774357
		4. : 1.
		5. : 1.
semimcfraeke	132	
		3. : 0.606335319404
		4. : 1.
		5. : 1.
semimcfraeke	133	
		3. : 0.612894265498
		4. : 1.
		5. : 1.
semimcfraeke	134	
		3. : 0.615964372435
		4. : 1.
		5. : 1.
semimcfraeke	135	
		3. : 0.612248795678
		4. : 1.
		5. : 1.
semimcfraeke	136	
		3. : 0.625774164024
		4. : 1.
		5. : 1.
semimcfraeke	137	
		3. : 0.619902185134
		4. : 1.
		5. : 1.
semimcfraeke	138	
		3. : 0.611885636399
		4. : 1.
		5. : 1.
semimcfraeke	139	
		3. : 0.610109259573
		4. : 1.
		5. : 1.
semimcfraeke	140	
		3. : 0.620504917056
		4. : 1.
		5. : 1.
semimcfraeke	141	
		3. : 0.601846748792
		4. : 1.
		5. : 1.
semimcfraeke	142	
		3. : 0.616700238595
		4. : 1.
		5. : 1.
semimcfraeke	143	
		3. : 0.615725493906
		4. : 1.
		5. : 1.
semimcfraeke	144	
		3. : 0.608141681703
		4. : 1.
		5. : 1.
semimcfraeke	145	
		3. : 0.605223030013
		4. : 1.
		5. : 1.
semimcfraeke	146	
		3. : 0.60916106034
		4. : 1.
		5. : 1.
semimcfraeke	147	
		3. : 0.60973623356
		4. : 1.
		5. : 1.
semimcfraeke	148	
		3. : 0.614050918842
		4. : 1.
		5. : 1.
semimcfraeke	149	
		3. : 0.614823513676
		4. : 1.
		5. : 1.
semimcfraeke	150	
		3. : 0.614816122703
		4. : 1.
		5. : 1.
semimcfraeke	151	
		3. : 0.607042328594
		4. : 1.
		5. : 1.
semimcfraeke	152	
		3. : 0.611537895647
		4. : 1.
		5. : 1.
semimcfraeke	153	
		3. : 0.603154958286
		4. : 1.
		5. : 1.
semimcfraeke	154	
		3. : 0.609043945563
		4. : 1.
		5. : 1.
semimcfraeke	155	
		3. : 0.609055028965
		4. : 1.
		5. : 1.
semimcfraeke	156	
		3. : 0.609173255727
		4. : 1.
		5. : 1.
semimcfraeke	157	
		3. : 0.610558091885
		4. : 1.
		5. : 1.
semimcfraeke	158	
		3. : 0.604308331686
		4. : 1.
		5. : 1.
semimcfraeke	159	
		3. : 0.613080858145
		4. : 1.
		5. : 1.
semimcfraeke	160	
		3. : 0.614716612112
		4. : 1.
		5. : 1.
semimcfraeke	161	
		3. : 0.607585738232
		4. : 1.
		5. : 1.
semimcfraeke	162	
		3. : 0.618073451696
		4. : 1.
		5. : 1.
semimcfraeke	163	
		3. : 0.61807345174
		4. : 1.
		5. : 1.
semimcfraeke	164	
		3. : 0.618073451746
		4. : 1.
		5. : 1.
semimcfraeke	165	
		3. : 0.609966662502
		4. : 1.
		5. : 1.
semimcfraeke	166	
		3. : 0.610060299433
		4. : 1.
		5. : 1.
semimcfraeke	167	
		3. : 0.610583426148
		4. : 1.
		5. : 1.
semimcfraeke	168	
		3. : 0.610543535966
		4. : 1.
		5. : 1.
semimcfraeke	169	
		3. : 0.611958460574
		4. : 1.
		5. : 1.
semimcfraeke	170	
		3. : 0.615379712984
		4. : 1.
		5. : 1.
semimcfraeke	171	
		3. : 0.615119421903
		4. : 1.
		5. : 1.
semimcfraeke	172	
		3. : 0.604115748719
		4. : 1.
		5. : 1.
semimcfraeke	173	
		3. : 0.618557941037
		4. : 1.
		5. : 1.
semimcfraeke	174	
		3. : 0.618834389072
		4. : 1.
		5. : 1.
semimcfraeke	175	
		3. : 0.60980129069
		4. : 1.
		5. : 1.
semimcfraeke	176	
		3. : 0.601854089762
		4. : 1.
		5. : 1.
semimcfraeke	177	
		3. : 0.618708984737
		4. : 1.
		5. : 1.
semimcfraeke	178	
		3. : 0.628497175074
		4. : 1.
		5. : 1.
semimcfraeke	179	
		3. : 0.625251386799
		4. : 1.
		5. : 1.
semimcfraeke	180	
		3. : 0.615476518439
		4. : 1.
		5. : 1.
semimcfraeke	181	
		3. : 0.597956705674
		4. : 1.
		5. : 1.
semimcfraeke	182	
		3. : 0.624341076719
		4. : 1.
		5. : 1.
semimcfraeke	183	
		3. : 0.624195037754
		4. : 1.
		5. : 1.
semimcfraeke	184	
		3. : 0.618193586355
		4. : 1.
		5. : 1.
semimcfraeke	185	
		3. : 0.601985511922
		4. : 1.
		5. : 1.
semimcfraeke	186	
		3. : 0.60621437854
		4. : 1.
		5. : 1.
semimcfraeke	187	
		3. : 0.600332853785
		4. : 1.
		5. : 1.
semimcfraeke	188	
		3. : 0.602534646372
		4. : 1.
		5. : 1.
semimcfraeke	189	
		3. : 0.604656042256
		4. : 1.
		5. : 1.
semimcfraeke	190	
		3. : 0.602698928345
		4. : 1.
		5. : 1.
semimcfraeke	191	
		3. : 0.592269410422
		4. : 1.
		5. : 1.
semimcfraeke	192	
		3. : 0.611856696289
		4. : 1.
		5. : 1.
semimcfraeke	193	
		3. : 0.607545775619
		4. : 1.
		5. : 1.
semimcfraeke	194	
		3. : 0.599966074681
		4. : 1.
		5. : 1.
semimcfraeke	195	
		3. : 0.609303728566
		4. : 1.
		5. : 1.
semimcfraeke	196	
		3. : 0.610894263846
		4. : 1.
		5. : 1.
semimcfraeke	197	
		3. : 0.607201390871
		4. : 1.
		5. : 1.
semimcfraeke	198	
		3. : 0.586155430176
		4. : 1.
		5. : 1.
semimcfraeke	199	
		3. : 0.589897101859
		4. : 1.
		5. : 1.

